NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,Marine::NMFS_DNA_ID,Marine::SPECIES_CODE,Marine::COMMON_NAME,Marine::SITE,Marine::STATE_M,Marine::COUNTY_M,Marine::LATITUDE_M,Marine::LONGITUDE_M,Marine::LOCATION_COMMENTS_M
R011786,R125,7G,A-080213-001,4143,NSF Rockfish Dispersal Project,Sebastes,chrysomelas,250,,,,ADULT,,,08/02/2013,,DSW,08/19/2013,,,R011786,SCHR,black and yellow rockfish,,,,36.56123333,-121.9457,
R011787,R125,7H,A-080213-002,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,320,,,,ADULT,,,08/02/2013,,DSW,08/19/2013,,,R011787,SMEL,Black Rockfish,,,,36.56123333,-121.9457,
R011788,R125,8A,A-080213-003,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,320,,,,ADULT,,,08/02/2013,,DSW,08/19/2013,,,R011788,SATR,Kelp Rockfish,,,,36.56123333,-121.9457,
R011789,R125,8B,A-080213-004,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,330,,,,ADULT,,,08/02/2013,,DSW,08/19/2013,,,R011789,SATR,Kelp Rockfish,,,,36.56123333,-121.9457,
R011790,R125,8C,A-080213-005,4143,NSF Rockfish Dispersal Project,Sebastes,carnatus,210,,,,ADULT,,,08/02/2013,,DSW,08/19/2013,,,R011790,SCAR,Gopher Rockfish,,,,36.56123333,-121.9457,
R011791,R125,8D,A-080713-001,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,340,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011791,SATR,Kelp Rockfish,,,,36.56106667,-121.9462333,
R011792,R125,8E,A-080713-002,4143,NSF Rockfish Dispersal Project,Sebastes,melanops,240,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011792,SMEL,Black Rockfish,,,,36.56111667,-121.9458,
R011793,R125,8F,A-080713-003,4143,NSF Rockfish Dispersal Project,Sebastes,carnatus,225,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011793,SCAR,Gopher Rockfish,,,,36.55916667,-121.9550167,
R011794,R125,8G,A-080713-004,4143,NSF Rockfish Dispersal Project,Sebastes,atrovirens,275,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,sample 23 on envelope.,R011794,SATR,Kelp Rockfish,,,,36.56003333,-121.9565167,
R011795,R125,8H,A-080713-005,4143,NSF Rockfish Dispersal Project,Sebastes,carnatus,280,,,,ADULT,,,08/07/2013,,DSW,08/19/2013,,,R011795,SCAR,Gopher Rockfish,,,,36.55916667,-121.9550167,
