NMFS_DNA_ID	BOX_ID	BOX_POSITION	SAMPLE_ID	BATCH_ID	PROJECT_NAME	GENUS	SPECIES	LENGTH	WEIGHT	SEX	AGE	REPORTED_LIFE_STAGE	PHENOTYPE	HATCHERY_MARK	TAG_NUMBER	COLLECTION_DATE	ESTIMATED_DATE	PICKER	PICK_DATE	LEFTOVER_SAMPLE	SAMPLE_COMMENTS	NMFS_DNA_ID	SPECIES_CODE	COMMON_NAME	LANDFALL_PORT	CRUISE	HAUL	SITE	STATE_M	COUNTY_M	LATITUDE_M	LONGITUDE_M	LOCATION_COMMENTS_M
R004006	R042	9F	F K24 larva 70	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004006	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004007	R042	9G	F K24 larva 71	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004007	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004008	R042	9H	F K24 larva 72	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004008	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004009	R042	10A	F K24 larva 73	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004009	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004010	R042	10B	F K24 larva 74	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004010	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004011	R042	10C	F K24 larva 75	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004011	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004012	R042	10D	F K24 larva 76	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004012	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004013	R042	10E	F K24 larva 77	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004013	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004014	R042	10F	F K24 larva 78	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004014	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
R004015	R042	10G	F K24 larva 79	A601	Kelp Rockfish Parentage	Sebastes	atrovirens					Extrusion Larvae				6/8/04		Sogard Team 			All larva on this plate were from Female K24; no tissue remains (Sogard may have additional larvae from this female)	R004015	KLPR	KELP ROCKFISH				NMFS Santa Cruz Lab	California	Santa Cruz			
